name,token_id,Full Chapter,Short Chapter,color
A05 Other bacterial foodborne intoxications,27,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A06 Amoebiasis,28,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A07 Other protozoal intestinal diseases,29,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A08 Viral and other specified intestinal infections,30,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A09 Diarrhoea and gastro-enteritis of presumed infectious origin,31,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",32,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",33,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A17 Tuberculosis of nervous system,34,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A18 Tuberculosis of other organs,35,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A19 Miliary tuberculosis,36,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A20 Plague,37,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A22 Anthrax,38,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A23 Brucellosis,39,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A24 Glanders and melioidosis,40,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A25 Rat-bite fevers,41,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A26 Erysipeloid,42,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A27 Leptospirosis,43,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A28 Other zoonotic bacterial diseases, not elsewhere classified",44,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A30 Leprosy [hansen's disease],45,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A31 Infection due to other mycobacteria,46,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A32 Listeriosis,47,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A33 Tetanus neonatorum,48,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A35 Other tetanus,49,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A36 Diphtheria,50,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A37 Whooping cough,51,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A38 Scarlet fever,52,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A39 Meningococcal infection,53,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A40 Streptococcal septicaemia,54,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A41 Other septicaemia,55,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A42 Actinomycosis,56,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A43 Nocardiosis,57,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A44 Bartonellosis,58,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A46 Erysipelas,59,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A48 Other bacterial diseases, not elsewhere classified",60,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A49 Bacterial infection of unspecified site,61,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A50 Congenital syphilis,62,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A51 Early syphilis,63,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A52 Late syphilis,64,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A53 Other and unspecified syphilis,65,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A54 Gonococcal infection,66,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A55 Chlamydial lymphogranuloma venereum,67,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A56 Other sexually transmitted chlamydial diseases,68,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A58 Granuloma inguinale,69,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A59 Trichomoniasis,70,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A60 Anogenital herpesviral [herpes simplex] infections,71,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A63 Other predominantly sexually transmitted diseases, not elsewhere classified",72,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A64 Unspecified sexually transmitted disease,73,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A66 Yaws,74,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A67 Pinta [carate],75,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A68 Relapsing fevers,76,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A69 Other spirochaetal infections,77,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A70 Chlamydia psittaci infection,78,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A71 Trachoma,79,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A74 Other diseases caused by chlamydiae,80,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A75 Typhus fever,81,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A77 Spotted fever [tick-borne rickettsioses],82,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A78 Q fever,83,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A79 Other rickettsioses,84,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A80 Acute poliomyelitis,85,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A81 Atypical virus infections of central nervous system,86,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A82 Rabies,87,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A83 Mosquito-borne viral encephalitis,88,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A84 Tick-borne viral encephalitis,89,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A85 Other viral encephalitis, not elsewhere classified",90,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A86 Unspecified viral encephalitis,91,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A87 Viral meningitis,92,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A88 Other viral infections of central nervous system, not elsewhere classified",93,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A89 Unspecified viral infection of central nervous system,94,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A90 Dengue fever [classical dengue],95,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A91 Dengue haemorrhagic fever,96,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A92 Other mosquito-borne viral fevers,97,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A93 Other arthropod-borne viral fevers, not elsewhere classified",98,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A94 Unspecified arthropod-borne viral fever,99,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A95 Yellow fever,100,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
A97 Dengue,101,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"A98 Other viral haemorrhagic fevers, not elsewhere classified",102,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B00 Herpesviral [herpes simplex] infections,103,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B01 Varicella [chickenpox],104,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B02 Zoster [herpes zoster],105,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B03 Smallpox,106,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B05 Measles,107,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B06 Rubella [german measles],108,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B07 Viral warts,109,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified",110,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B09 Unspecified viral infection characterised by skin and mucous membrane lesions,111,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B15 Acute hepatitis a,112,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B16 Acute hepatitis b,113,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B17 Other acute viral hepatitis,114,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B18 Chronic viral hepatitis,115,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B19 Unspecified viral hepatitis,116,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B20 Human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases,117,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B21 Human immunodeficiency virus [hiv] disease resulting in malignant neoplasms,118,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B22 Human immunodeficiency virus [hiv] disease resulting in other specified diseases,119,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B23 Human immunodeficiency virus [hiv] disease resulting in other conditions,120,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B24 Unspecified human immunodeficiency virus [hiv] disease,121,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B25 Cytomegaloviral disease,122,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B26 Mumps,123,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B27 Infectious mononucleosis,124,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B30 Viral conjunctivitis,125,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"B33 Other viral diseases, not elsewhere classified",126,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B34 Viral infection of unspecified site,127,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B35 Dermatophytosis,128,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B36 Other superficial mycoses,129,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B37 Candidiasis,130,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B38 Coccidioidomycosis,131,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B39 Histoplasmosis,132,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B40 Blastomycosis,133,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B42 Sporotrichosis,134,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B43 Chromomycosis and phaeomycotic abscess,135,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B44 Aspergillosis,136,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B45 Cryptococcosis,137,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B46 Zygomycosis,138,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B47 Mycetoma,139,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"B48 Other mycoses, not elsewhere classified",140,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B49 Unspecified mycosis,141,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B50 Plasmodium falciparum malaria,142,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B51 Plasmodium vivax malaria,143,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B52 Plasmodium malariae malaria,144,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B53 Other parasitologically confirmed malaria,145,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B54 Unspecified malaria,146,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B55 Leishmaniasis,147,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B57 Chagas' disease,148,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B58 Toxoplasmosis,149,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B59 Pneumocystosis,150,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"B60 Other protozoal diseases, not elsewhere classified",151,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B65 Schistosomiasis [bilharziasis],152,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B66 Other fluke infections,153,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B67 Echinococcosis,154,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B68 Taeniasis,155,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B69 Cysticercosis,156,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B71 Other cestode infections,157,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B73 Onchocerciasis,158,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B74 Filariasis,159,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B75 Trichinellosis,160,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B76 Hookworm diseases,161,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B77 Ascariasis,162,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B78 Strongyloidiasis,163,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B79 Trichuriasis,164,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B80 Enterobiasis,165,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
"B81 Other intestinal helminthiases, not elsewhere classified",166,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B82 Unspecified intestinal parasitism,167,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B83 Other helminthiases,168,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B85 Pediculosis and phthiriasis,169,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B86 Scabies,170,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B87 Myiasis,171,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B88 Other infestations,172,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B89 Unspecified parasitic disease,173,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B90 Sequelae of tuberculosis,174,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B91 Sequelae of poliomyelitis,175,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B94 Sequelae of other and unspecified infectious and parasitic diseases,176,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,177,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B96 Other bacterial agents as the cause of diseases classified to other chapters,178,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B97 Viral agents as the cause of diseases classified to other chapters,179,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B98 Other specified infectious agents as the cause of diseases classified to other chapters,180,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
B99 Other and unspecified infectious diseases,181,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a
D50 Iron deficiency anaemia,182,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D51 Vitamin b12 deficiency anaemia,183,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D52 Folate deficiency anaemia,184,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D53 Other nutritional anaemias,185,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D55 Anaemia due to enzyme disorders,186,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D56 Thalassaemia,187,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D57 Sickle-cell disorders,188,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D58 Other hereditary haemolytic anaemias,189,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D59 Acquired haemolytic anaemia,190,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D60 Acquired pure red cell aplasia [erythroblastopenia],191,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D61 Other aplastic anaemias,192,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D62 Acute posthaemorrhagic anaemia,193,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D63 Anaemia in chronic diseases classified elsewhere,194,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D64 Other anaemias,195,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D65 Disseminated intravascular coagulation [defibrination syndrome],196,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D66 Hereditary factor viii deficiency,197,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D67 Hereditary factor ix deficiency,198,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D68 Other coagulation defects,199,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D69 Purpura and other haemorrhagic conditions,200,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D70 Agranulocytosis,201,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D71 Functional disorders of polymorphonuclear neutrophils,202,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D72 Other disorders of white blood cells,203,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D73 Diseases of spleen,204,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D74 Methaemoglobinaemia,205,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D75 Other diseases of blood and blood-forming organs,206,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D76 Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,207,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D77 Other disorders of blood and blood-forming organs in diseases classified elsewhere,208,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D80 Immunodeficiency with predominantly antibody defects,209,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D81 Combined immunodeficiencies,210,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D82 Immunodeficiency associated with other major defects,211,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D83 Common variable immunodeficiency,212,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D84 Other immunodeficiencies,213,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
D86 Sarcoidosis,214,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
"D89 Other disorders involving the immune mechanism, not elsewhere classified",215,III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,III. Blood & Immune Disorders,#ff9896
E01 Iodine-deficiency-related thyroid disorders and allied conditions,216,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E02 Subclinical iodine-deficiency hypothyroidism,217,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E03 Other hypothyroidism,218,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E04 Other non-toxic goitre,219,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E05 Thyrotoxicosis [hyperthyroidism],220,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E06 Thyroiditis,221,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E07 Other disorders of thyroid,222,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E10 Insulin-dependent diabetes mellitus,223,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E11 Non-insulin-dependent diabetes mellitus,224,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E12 Malnutrition-related diabetes mellitus,225,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E13 Other specified diabetes mellitus,226,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E14 Unspecified diabetes mellitus,227,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E15 Nondiabetic hypoglycaemic coma,228,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E16 Other disorders of pancreatic internal secretion,229,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E20 Hypoparathyroidism,230,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E21 Hyperparathyroidism and other disorders of parathyroid gland,231,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E22 Hyperfunction of pituitary gland,232,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E23 Hypofunction and other disorders of pituitary gland,233,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E24 Cushing's syndrome,234,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E25 Adrenogenital disorders,235,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E26 Hyperaldosteronism,236,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E27 Other disorders of adrenal gland,237,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E28 Ovarian dysfunction,238,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E29 Testicular dysfunction,239,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
"E30 Disorders of puberty, not elsewhere classified",240,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E31 Polyglandular dysfunction,241,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E32 Diseases of thymus,242,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E34 Other endocrine disorders,243,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E35 Disorders of endocrine glands in diseases classified elsewhere,244,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E41 Nutritional marasmus,245,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E43 Unspecified severe protein-energy malnutrition,246,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E44 Protein-energy malnutrition of moderate and mild degree,247,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E45 Retarded development following protein-energy malnutrition,248,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E46 Unspecified protein-energy malnutrition,249,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
E50 Vitamin a deficiency,250,"IV. Endocrine, nutritional and metabolic diseases",IV. Metabolic Diseases,#2ca02c
